City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alofi,NU,-19.0595,-169.9187,75.09,100,100,2.3,overcast clouds
80,Ridgecrest,US,35.6225,-117.6709,60.66,49,0,5.01,clear sky
81,Sibu,MY,2.3,111.8167,77.31,83,40,4.61,thunderstorm
82,Yuzhno-Kurilsk,RU,44.0306,145.8556,32.34,84,72,11.45,broken clouds
83,Togur,RU,58.3631,82.8265,27.63,88,92,5.82,overcast clouds
84,Constitucion,CL,-35.3333,-72.4167,56.46,80,2,4.29,clear sky
85,Luderitz,NA,-26.6481,15.1594,71.91,56,0,26.31,clear sky
86,Guerrero Negro,MX,27.9769,-114.0611,56.14,86,0,8.43,clear sky
87,Dong Hoi,VN,17.4833,106.6,61.92,92,100,18.05,overcast clouds
88,Canatlan,MX,24.5167,-104.7833,50.68,29,34,3.0,scattered clouds
89,Pimentel,PE,-6.8367,-79.9342,68.29,83,0,4.61,clear sky
90,Biltine,TD,14.5333,20.9167,104.05,5,36,10.07,scattered clouds
91,Aripuana,BR,-9.1667,-60.6333,70.39,96,94,3.6,overcast clouds
92,Kamenka,RU,51.3223,42.7678,69.8,48,71,21.81,broken clouds
93,Torbay,CA,47.6666,-52.7314,48.97,100,100,18.41,overcast clouds
94,Northam,GB,51.0333,-4.2167,46.62,63,100,4.63,overcast clouds
95,Nicoya,CR,10.1483,-85.452,73.38,84,62,2.66,broken clouds
96,Wanning,CN,18.8003,110.3967,62.01,92,100,17.76,overcast clouds
97,Faanui,PF,-16.4833,-151.75,81.79,71,66,4.72,broken clouds
98,Teguldet,RU,57.3064,88.1667,28.74,82,100,6.35,overcast clouds
99,Mayo,US,38.8876,-76.5119,43.18,57,0,11.5,clear sky
100,Bathsheba,BB,13.2167,-59.5167,81.21,65,20,23.02,few clouds
101,Jamestown,US,42.097,-79.2353,31.01,62,100,8.05,overcast clouds
102,Komsomolskiy,UZ,40.4272,71.7189,74.12,25,5,2.3,clear sky
103,Pevek,RU,69.7008,170.3133,-5.44,94,100,1.23,overcast clouds
104,Burnie,AU,-41.0667,145.9167,54.91,77,14,9.17,few clouds
105,Atuona,PF,-9.8,-139.0333,78.3,74,12,10.38,few clouds
106,Krasnoselkup,RU,65.7,82.4667,20.5,87,99,7.47,overcast clouds
107,Grindavik,IS,63.8424,-22.4338,46.35,93,100,19.57,moderate rain
108,Nikolskoye,RU,59.7035,30.7861,37.87,63,78,7.38,broken clouds
109,Chipinge,ZW,-20.1883,32.6236,75.04,69,25,7.38,light rain
110,Epernay,FR,49.05,3.95,41.29,61,100,16.93,overcast clouds
111,Dekar,BW,-21.5333,21.9333,86.36,34,32,10.56,scattered clouds
112,Mount Isa,AU,-20.7333,139.5,73.17,33,89,0.0,overcast clouds
113,Podosinovets,RU,60.2776,47.0659,30.76,69,90,6.26,overcast clouds
114,Kapit,MY,2.0167,112.9333,74.97,96,46,2.17,scattered clouds
115,Port Blair,IN,11.6667,92.75,82.94,73,20,8.25,few clouds
116,Yellowknife,CA,62.456,-114.3525,-25.08,68,40,3.44,scattered clouds
117,Touros,BR,-5.1989,-35.4608,83.32,72,96,12.48,overcast clouds
118,Lavrentiya,RU,65.5833,-171.0,2.12,68,4,12.41,clear sky
119,Carnarvon,AU,-24.8667,113.6333,78.87,78,3,6.91,clear sky
120,Yumen,CN,40.2833,97.2,55.49,9,0,10.8,clear sky
121,Zalesovo,RU,53.9939,84.7431,33.62,99,98,6.85,snow
122,Puerto Ayora,EC,-0.7393,-90.3518,76.55,100,45,6.89,scattered clouds
123,Natal,BR,-5.795,-35.2094,82.62,83,75,5.75,light rain
124,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,13.8,few clouds
125,Coari,BR,-4.085,-63.1414,74.23,99,100,3.42,light rain
126,Takhtamygda,RU,54.1,123.5667,26.33,92,99,2.24,overcast clouds
127,East London,ZA,-33.0153,27.9116,63.54,100,100,9.22,light rain
128,Bilibino,RU,68.0546,166.4372,-3.62,92,99,4.45,overcast clouds
129,Vuktyl,RU,63.8567,57.3094,26.38,68,100,5.26,overcast clouds
130,Beberibe,BR,-4.1797,-38.1306,75.4,91,100,5.66,overcast clouds
131,Port Lincoln,AU,-34.7333,135.8667,62.13,66,100,13.98,overcast clouds
132,Beringovskiy,RU,63.05,179.3167,14.22,95,100,9.22,overcast clouds
133,Neuquen,AR,-38.9516,-68.0591,44.49,70,0,3.44,clear sky
134,Hamilton,US,39.1834,-84.5333,34.88,85,0,8.05,mist
135,Faya,SA,18.3851,42.4509,82.51,11,0,2.04,clear sky
136,Verkhoshizhemye,RU,58.011,49.1038,33.46,81,100,12.12,overcast clouds
137,Kahului,US,20.8947,-156.47,73.85,75,0,13.8,clear sky
138,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,9.22,moderate rain
139,Southbridge,US,42.0751,-72.0334,37.51,60,50,5.99,scattered clouds
140,Solnechnyy,RU,50.7214,136.6319,25.88,86,78,5.26,broken clouds
141,Lagoa,PT,39.05,-27.9833,58.03,67,39,13.31,scattered clouds
142,Carahue,CL,-38.7,-73.1667,54.5,69,74,1.97,broken clouds
143,Neiafu,TO,-18.65,-173.9833,77.68,88,40,2.3,scattered clouds
144,Menongue,AO,-14.6585,17.691,76.75,64,97,5.68,light rain
