City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Uddiawan,PH,71.31,overcast clouds,16.5589,121.1512,Le Jardin
549,Soe,ID,65.01,few clouds,-9.8607,124.284,Dena Hotel
550,Dzilam Gonzalez,MX,75.99,broken clouds,21.2833,-88.9333,posadas
554,Grand Gaube,MU,75.6,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
556,Shache,CN,65.77,overcast clouds,38.4167,77.2406,Delong Hotel
559,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
562,Anito,PH,77.38,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
569,Hue,VN,64.51,mist,16.4667,107.6,Saigon Morin Hotel
570,Sal Rei,CV,73.6,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
575,Naze,JP,61.72,overcast clouds,28.3667,129.4833,Shishime Hotel
576,Gympie,AU,69.19,clear sky,-26.1898,152.665,Mary River Motor Inn
584,Tripoli,LY,65.28,clear sky,32.8752,13.1875,Al Waddan Hotel
586,Rawson,AR,67.33,few clouds,-43.3002,-65.1023,Hosteria Sampedro
587,Rio Grande City,US,71.11,broken clouds,26.3798,-98.8203,La Borde House
589,Coahuayana,MX,63.81,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
590,Cabatuan,PH,78.03,few clouds,10.8794,122.486,MVC Transient Room
594,Hualmay,PE,69.82,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
598,Port Macquarie,AU,63.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
608,Barra Do Corda,BR,72.82,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
613,Rodrigues Alves,BR,66.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
619,Banepa,NP,71.92,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
620,Sijunjung,ID,76.28,clear sky,-0.6876,100.9537,Hotel Bukik Gadang
626,Ende,ID,78.33,few clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
630,Silifke,TR,73.99,clear sky,36.3778,33.9344,Ayatekla Hotel
636,Barabai,ID,76.41,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
641,Barbacena,BR,65.71,mist,-21.2258,-43.7736,Faculdade Senac Minas - Campus Barbacena
642,Mbandaka,CD,77.68,overcast clouds,0.0487,18.2603,Guest House Epervier
649,Alice Town,BS,77.9,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
654,Pozo Colorado,PY,65.59,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
662,Dabat,ET,78.51,broken clouds,12.9842,37.765,Haymanot hotel
664,Korla,CN,61.66,broken clouds,41.7597,86.1469,Gulisitan Hotel
666,Acapulco,MX,69.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
668,Buchanan,LR,77.29,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
678,Guarumal,PA,73.49,few clouds,8.35,-82.5333,Grama la martina
685,Saint Marys,US,66.02,mist,30.7305,-81.5465,Spencer House Inn
689,Quixada,BR,74.35,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
695,Grand-Santi,GF,77.86,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
697,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
698,Atlantis,ZA,74.34,clear sky,-33.5667,18.4834,Sunrise Farm
